ID,Prediction
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,0
339,1
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,1
